name,free-women,free-children,free-places,date
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,0,0,Keine freien Plätze,2020-10-31
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Frankfurter Verein I die kanne,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-31
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-10-31
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-10-31
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-10-31
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-10-31
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-10-31
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-10-31
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-01
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-01
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-01
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,0,0,Keine freien Plätze,2020-11-01
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Frankfurter Verein I die kanne,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-01
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-01
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-01
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-01
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-01
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-01
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-11-01
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-01
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-02
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-02
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-02
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Wetzlar,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-02
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,0,0,Keine freien Plätze,2020-11-02
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Frankfurter Verein I die kanne,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-02
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-02
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-02
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-02
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-02
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-02
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-11-02
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-02
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-03
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-03
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-03
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,0,0,Keine freien Plätze,2020-11-03
Autonomes Frauenhaus Frankfurt,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-03
Frauenhaus Frankfurter Verein I die kanne,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-03
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-03
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-03
Frauen und Kinderhaus Offenbach,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-03
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-03
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-03
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-03
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-11-03
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-03
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-04
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-04
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-04
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,0,0,Keine freien Plätze,2020-11-04
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Frankfurter Verein I die kanne,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-04
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-04
