name,free-women,free-children,free-places,date
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Bergstraße,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-09
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-09
Haus für Frauen in Not  Wiesbaden,1,0,Freie Plätze für Frauen ohne Kinder,2020-11-09
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-09
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-09
Frauenhaus Limburg,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-09
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-09
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-10
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-10
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-10
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-10
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Frankfurter Verein I die kanne,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-10
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-10
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-10
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-10
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-10
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-10
Frauenhaus Limburg,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-10
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-10
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-11
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Bad Wildungen,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-11
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-11
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-11
Autonomes Frauenhaus Frankfurt,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-11
Frauenhaus Frankfurter Verein I die kanne,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-11
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-11
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-11
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Landkreis Darmstadt-Dieburg,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-11
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-11
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-11
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-11-11
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-11
